"Year","State","Population","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft"
1983,"New Mexico",1399000,79175,21813,53077,4285
1984,"New Mexico",1424000,79108,23349,51195,4564
1985,"New Mexico",1450000,83843,25432,53398,5013
1986,"New Mexico",1479000,87266,27283,54906,5077
1987,"New Mexico",1500000,88775,26815,56777,5183
1988,"New Mexico",1510000,89817,27737,56192,5888
1989,"New Mexico",1528000,89693,26146,58201,5346
1990,"New Mexico",1515069,89448,26343,58004,5101
1991,"New Mexico",1548000,90474,26672,58441,5361
1992,"New Mexico",1581000,86942,23896,57072,5974
1993,"New Mexico",1616000,86236,22966,56723,6547
1994,"New Mexico",1654000,87638,21945,57343,8350
1995,"New Mexico",1685000,94508,24383,61478,8647
1996,"New Mexico",1713000,98698,23586,65139,9973
1997,"New Mexico",1730000,104721,25126,67188,12407
1998,"New Mexico",1737000,100011,24213,65031,10767
1999,"New Mexico",1739844,89220,21481,59613,8126
2000,"New Mexico",1819046,86605,21339,57925,7341
2001,"New Mexico",1830935,83095,19552,56406,7137
2002,"New Mexico",1852044,80477,19634,53406,7437
2003,"New Mexico",1878562,76816,18997,50595,7224
2004,"New Mexico",1903006,79895,19924,52069,7902
2005,"New Mexico",1925985,79575,20939,50707,7929
2006,"New Mexico",1954599,76000,20906,45864,9230
2007,"New Mexico",1969915,75168,20823,45442,8903
2008,"New Mexico",1984356,75718,20706,46995,8017
2009,"New Mexico",2009671,74639,21955,46182,6502
2010,"New Mexico",2065913,70776,21023,44503,5250
2011,"New Mexico",2078674,73549,21419,46730,5400
2012,"New Mexico",2085538,75094,21384,48247,5463
1965,"New York",18073000,495248,183443,253353,58452
1966,"New York",18258000,546904,196127,286409,64368
1967,"New York",18336000,617404,219157,314472,83775
1968,"New York",18113000,730938,250918,375143,104877
1969,"New York",18321000,731340,248477,367463,115400
1970,"New York",18190740,779701,267474,386553,125674
1971,"New York",18391000,789974,273704,388612,127658
1972,"New York",18366000,666063,239886,321096,105081
1973,"New York",18265000,678881,246246,320307,112328
1974,"New York",18111000,766276,271824,390357,104095
1975,"New York",18120000,866010,301996,447740,116274
1976,"New York",18084000,968751,318919,516328,133504
1977,"New York",17924000,942057,309735,498653,133669
1978,"New York",17748000,878736,292956,466516,119264
1979,"New York",17649000,933234,308302,500589,124343
1980,"New York",17506690,1029749,360925,535783,133041
1981,"New York",17594000,1026757,350422,539486,136849
1982,"New York",17659000,967369,295245,534244,137880
1983,"New York",17667000,881322,249115,504346,127861
1984,"New York",17735000,826969,222956,488621,115392
1985,"New York",17783000,828446,219633,502276,106537
1986,"New York",17772000,849827,217010,519570,113247
1987,"New York",17825000,881330,216826,539175,125329
1988,"New York",17898000,932845,218060,560887,153898
1989,"New York",17950000,926596,211130,544459,171007
1990,"New York",17990455,932416,208813,536012,187591
1991,"New York",18058000,917467,204499,531681,181287
1992,"New York",18119000,858178,193548,495708,168922
1993,"New York",18197000,814824,181709,481166,151949
1994,"New York",18169000,745845,164650,452322,128873
1995,"New York",18136000,674342,146562,425184,102596
1996,"New York",18185000,619250,129828,399522,89900
1997,"New York",18137000,584438,118306,386435,79697
1998,"New York",18175000,536287,104821,363295,68171
1999,"New York",18196601,489596,93217,338118,58261
2000,"New York",18976457,483078,87946,340901,54231
2001,"New York",19084350,458003,80400,329316,48287
2002,"New York",19134293,442091,76700,318025,47366
2003,"New York",19212425,432079,75453,311422,45204
2004,"New York",19280727,422734,70696,311036,41002
2005,"New York",19315721,405990,68034,302220,35736
2006,"New York",19306183,398577,68617,297827,32133
2007,"New York",19297729,383624,64914,290681,28029
2008,"New York",19490297,388599,65544,297962,25093
2009,"New York",19541453,377537,62769,292897,21871
2010,"New York",19395206,379710,65839,293232,20639
2011,"New York",19501616,371837,65227,287361,19249
2012,"New York",19570261,376140,64553,294239,17348
1960,"North Carolina",4556155,43556,12730,26865,3961
1961,"North Carolina",4614000,45657,13485,28029,4143
1962,"North Carolina",4731000,48704,14704,29642,4358
1963,"North Carolina",4760000,51877,15948,30877,5052
1964,"North Carolina",4852000,60397,19369,35554,5474
1965,"North Carolina",4914000,64317,20112,38309,5896
1966,"North Carolina",5000000,70436,22134,41258,7044
1967,"North Carolina",5029000,79167,25966,45856,7345
1968,"North Carolina",5135000,85031,27716,49442,7873
1969,"North Carolina",5205000,99083,31804,58614,8665
1970,"North Carolina",5082059,115488,38918,68042,8528
1971,"North Carolina",5146000,120495,41840,70109,8546
1972,"North Carolina",5214000,116561,42375,65574,8612
